,sample,position_1_1,position_2_1,position_3_1,position_4,position_5
154,5-1-004,6.607142857142839,,,101.64772727272728,
155,5-1-005,5.961538461538463,,,110.40277777777779,
156,5-1-006,6.562499999999999,,,129.375,
157,5-1-007,9.48863636363638,,,82.7840909090909,
158,5-1-008,5.937499999999998,,,101.41025641025641,
159,5-1-009,6.919642857142846,,,83.575,
160,5-1-010,8.928571428571438,,,107.17500000000001,
161,5-1-011,7.031249999999989,,82.91666666666667,126.27155172413792,
162,5-1-012,8.333333333333318,,,94.76461038961038,377.1875
163,5-1-013,9.374999999999995,,,87.98863636363636,
164,5-2-001,16.583333333333215,,204.84210526315786,,489.69696969696975
165,5-2-002,6.458333333333344,,77.07589285714286,183.55978260869566,
166,5-2-003,6.999999999999979,,64.91071428571428,187.24702380952382,
167,5-2-004,5.902777777777757,,93.33333333333334,184.1733870967742,
168,5-2-005,4.140624999999981,,,116.72222222222223,
169,5-2-006,25.178571428571438,,,138.23275862068965,
170,5-2-007,6.249999999999978,,,100.23809523809524,
171,5-2-008,12.49999999999997,,,124.83108108108108,
172,5-2-009,20.79545454545456,,,134.17091836734693,
173,5-2-010,9.151785714285737,,,117.72058823529412,
174,5-2-011,10.427631578947368,,,104.3389423076923,
175,5-2-012,10.208333333333346,,,116.58898305084746,
176,5-2-013,8.125000000000007,,,93.18181818181819,
177,5-2-014,5.500000000000019,,,96.46739130434783,
178,5-2-015,4.722222222222211,,,99.5673076923077,
179,5-2-016,12.421874999999998,,,90.22135416666667,
180,5-2-017,7.36111111111111,,,79.515625,
181,5-3-001,10.28571428571432,,187.8461538461538,,503.2
182,5-3-002,9.785714285714286,,142.55555555555551,356.1428571428571,395.07500000000005
183,5-3-003,12.428571428571434,,,165.9056603773585,
184,5-3-004,17.777777777777757,,,192.5581395348837,
185,5-3-005,9.791666666666671,,,165.1171875,
186,5-3-006,5.432692307692361,,,116.06617647058823,
187,5-3-007,18.124999999999975,,,155.89285714285714,
188,5-3-008,16.95652173913044,,,127.01923076923077,
189,5-3-009,7.986111111111111,,105.125,182.30113636363637,
190,5-3-010,21.801470588235283,,,135.22727272727272,
191,5-3-011,7.4375,,,110.91145833333334,
192,5-3-012,7.875000000000021,,,102.01704545454545,
193,5-3-013,6.778846153846163,,,102.86337209302324,
194,5-3-014,5.7142857142857135,,,95.89622641509433,
195,5-3-015,10.227272727272723,,,97.34374999999999,
